TANGGAL,PUKUL,ACARA,INSTANSI,TEMPAT,PERIHAL,STATUS,"JUMLAH PENGUNJUNG",KETERANGAN,PIC
1,2023/07/11,14.00-selesai,"Kunjungan Industri","Politeknik Negeri Bali","Aula Gedung RnD",,,126,,Budiharto
2,2023/07/04,,"Kunjungan Industri","SMKS Al Wahab Kradenan","Aula Gedung RnD",,,69,,Budiharto
3,2023/06/15,10.00-selesai,"Company Visit Singapore Management University",UGM,KST,,,39,,"Abednego Danu S"
4,2023/06/13,09.00-selesai,"Kunjungan Industri","SMK 1 Geneng Ngawi","Aula Gedung RnD",,,111,,Budiharto
5,2023/06/08,13.00-selesai,"Kunjungan Industri","SMKN 1 Way Panji Lampung","Aula Gedung RnD",,,211,,Budiharto
6,2023/05/21,06.00-selesai,"Family Gathering KBIT RA Alif Smart","KBIT RA Alif Smart",KST,,,350,,"Ani Anggraeni"
7,2023/04/20,14.30-16.00,"Uji TA",ATMI,ATMI,,,,,"Bp Yudit Cahyantoro NS, ST, MT."
8,"12-13 Apr 23",09.00-selesai,"Bimtek Pengelolaan Science Center",BRIN,"Taman Pintar",,,,UNDANGAN,"Ani Anggraeni"
9,2023/04/12,09-00-14.30,"Next Young Entrepreneur Unisri Batch X",UNISRI&IBT,"Ruang Teori 2 Gedung RnD",,,30,,"Abednego Danu S"
10,2023/04/12,10.00-selesai,Survey,UTP,"Aula Gedung RnD",,,50,,"Susilo Budi Arianto"
11,2023/04/11,12.00-17.00,"Produksi Photoshot dan Take Video Reels bersama Honda Jateng","SOC Media Group",Shopee,,,,,"Susilo Budi Arianto"
12,2023/04/11,09.00-selesai,"Penjelasan Teknis Learning Manajemen Sytem",BKDPSDM,"Zoom Meeting",,,,UNDANGAN,"Rony Widjanarko"
13,2023/02/02,10.00-selesai,"Kunjungan Industri","SMK YP IPPI Jakarta","Aula Gedung RnD",,,110,,Budiharto
14,2023/02/02,08.00-selesai,"Kunjungan Industri","SMK Kartika XIX-1","Aula Gedung RnD",,,141,,Budiharto
15,2023/01/25,08.30-11.00,"Kunjungan Industri","SMK Sunan Drajat Lampongan","Aula Gedung RnD",,,100,,Budiharto
16,2023/01/19,,"Kunjungan Industri","SMK Yos Sudarso Jeruklegi",STP,,,186,,Budiharto
17,2023/01/18,,"Dubes Inggris","Kedubes Inggris",STP,,,,,"Abednego Danu S"
18,2023/01/18,09.00-12.00,"Kunjungan Industri","SMAN 1 Kalasan",STP,,,155,,Budiharto
19,2023/01/04,10.00-selesai,"Kunjungan Industri","SMKN 1 Rejotangan Tulungagung",STP,,,91,,Budiharto
20,2023/01/04,"09.30/ menyesuaikan","Kunjungan Industri","SMK Muh. Mungkid Magelang",STP,,,160,RESCHEDULE,Budiharto
